ts,temperature,dew_point,rel_humidity,wind_dir,wind_speed,visibility,stn_pressure,humidex,wind_chill,notes
2013-01-08D09:00:00.000000000,-0.8,-4.4,77,240,19,16.1,100.23,,-6,Cloudy
2013-01-08D10:00:00.000000000,-0.2,-4,76,230,24,14.5,100.23,,-6,Cloudy
2013-01-08D11:00:00.000000000,-0.2,-3.9,76,280,11,14.5,100.32,,-4,Cloudy
2013-01-08D12:00:00.000000000,0.6,-3.5,74,260,11,14.5,100.3,,,Mostly Cloudy
2013-01-08D13:00:00.000000000,1.5,-2.9,72,250,11,14.5,100.26,,,Mostly Cloudy
2013-01-08D14:00:00.000000000,2.1,-2.7,70,250,15,16.1,100.28,,,Mostly Cloudy
2013-01-08D15:00:00.000000000,2.4,-2.8,68,240,9,16.1,100.34,,,Mostly Cloudy
2013-01-08D16:00:00.000000000,2.7,-2.9,67,200,4,16.1,100.38,,,Cloudy
2013-01-08D17:00:00.000000000,1.9,-3,70,210,7,16.1,100.42,,,Mainly Clear
2013-01-08D18:00:00.000000000,1.7,-2.8,72,,0,16.1,100.43,,,Mainly Clear
2013-01-08D19:00:00.000000000,1.4,-2.8,74,170,4,19.3,100.45,,,Mainly Clear
2013-01-08D20:00:00.000000000,1.3,-2.2,77,200,6,16.1,100.45,,,Mostly Cloudy
2013-01-08D21:00:00.000000000,0.9,-2.6,77,130,4,16.1,100.39,,,Mostly Cloudy
2013-01-08D22:00:00.000000000,0.3,-2.1,84,150,6,16.1,100.4,,,Cloudy
2013-01-08D23:00:00.000000000,-0.1,-1.9,88,180,6,16.1,100.32,,-2,Cloudy
2013-01-09D00:00:00.000000000,-0.3,-1.8,90,180,7,19.3,100.31,,-3,Mainly Clear
2013-01-09D01:00:00.000000000,-0.2,-1.9,88,170,7,19.3,100.25,,-3,Mainly Clear
2013-01-09D02:00:00.000000000,-0.4,-1.9,90,180,7,19.3,100.21,,-3,Mainly Clear
2013-01-09D03:00:00.000000000,-0.2,-2.4,85,180,9,19.3,100.11,,-3,Clear
2013-01-09D04:00:00.000000000,-0.1,-2.4,84,180,7,19.3,100.05,,-3,Mainly Clear
2013-01-09D05:00:00.000000000,0,-2,86,160,6,16.1,99.99,,-2,Mainly Clear
2013-01-09D06:00:00.000000000,0.4,-1.3,88,180,7,24.1,99.94,,,Mainly Clear
2013-01-09D07:00:00.000000000,1.3,-0.8,86,140,15,24.1,99.57,,,Mostly Cloudy
2013-01-09D08:00:00.000000000,2,-0.7,82,180,13,12.9,99.65,,,Cloudy
2013-01-09D09:00:00.000000000,3,-0.7,77,190,11,12.9,99.6,,,Cloudy
2013-01-09D10:00:00.000000000,4.9,-0.1,70,220,28,24.1,99.5,,,Mostly Cloudy
2013-01-09D11:00:00.000000000,5.1,1.1,75,230,32,24.1,99.39,,,Mostly Cloudy
2013-01-09D12:00:00.000000000,5.8,1.7,75,240,33,24.1,99.28,,,Mostly Cloudy
2013-01-09D13:00:00.000000000,5.4,0.9,73,260,39,24.1,99.31,,,Cloudy
